"Months","Year","Extra Large Dozen","Extra Large 1/2 Doz. 1/2 Dozen","Large Dozen","Large 1/2 Doz.","Whole","B/S Breast","Bone-in Breast","Whole Legs","Thighs","index"
"January","2004",230,132,230,126,197.5,645.5,"NaN",193.5,"NaN","Jan 04"
"February","2004",230,134.5,226.25,128.5,197.5,642.5,"NaN",193.5,"203","Feb 04"
"March","2004",230,137,225,131,209,642.5,"NaN",193.5,"203","Mar 04"
"April","2004",234.5,137,225,131,212,642.5,"NaN",193.5,"203","Apr 04"
"May","2004",236,137,225,131,214.5,642.5,"NaN",193.5,"203","May 04"
"June","2004",241,137,231.375,133.5,216.375,641,"NaN",201.875,"200.375","Jun 04"
"July","2004",241,137,233.5,133.5,217,642.5,"390.5",203.5,"199.5","Jul 04"
"August","2004",241,137,233.5,133.5,217,642.5,"390.5",203.5,"199.5","Aug 04"
"September","2004",241,135.875,233.5,129.75,217,642.5,"390.5",203.5,"199.5","Sep 04"
"October","2004",241,135.5,233.5,128.5,217,642.5,"390.5",203.5,"199.5","Oct 04"
"November","2004",241,135.5,233.5,128.5,217,642.5,"390.5",203.5,"199.5","Nov 04"
"December","2004",241,135.5,233.5,128.5,217,642.5,"390.5",203.5,"199.5","Dec 04"
"January","2005",241,135.5,233.5,128.5,217,644,"390.5",203.5,"213","Jan 05"
"February","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Feb 05"
"March","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Mar 05"
"April","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Apr 05"
"May","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","May 05"
"June","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Jun 05"
"July","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Jul 05"
"August","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Aug 05"
"September","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Sep 05"
"October","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Oct 05"
"November","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Nov 05"
"December","2005",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Dec 05"
"January","2006",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Jan 06"
"February","2006",241,135.5,233.5,128.5,217,645.5,"390.5",203.5,"222","Feb 06"
"March","2006",241.375,135.5,233.5,128.5,219.625,645.5,"390.5",203.5,"222","Mar 06"
"April","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Apr 06"
"May","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","May 06"
"June","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Jun 06"
"July","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Jul 06"
"August","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Aug 06"
"September","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Sep 06"
"October","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Oct 06"
"November","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Nov 06"
"December","2006",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Dec 06"
"January","2007",241.5,135.5,233.5,128.5,220.5,645.5,"390.5",203.5,"222","Jan 07"
"February","2007",244.125,138.125,236.125,131.125,220.5,645.5,"390.5",203.5,"222","Feb 07"
"March","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Mar 07"
"April","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Apr 07"
"May","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","May 07"
"June","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Jun 07"
"July","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Jul 07"
"August","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Aug 07"
"September","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Sep 07"
"October","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Oct 07"
"November","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Nov 07"
"December","2007",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Dec 07"
"January","2008",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Jan 08"
"February","2008",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Feb 08"
"March","2008",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Mar 08"
"April","2008",245,139,237,132,220.5,645.5,"390.5",203.5,"222","Apr 08"
"May","2008",245,139,237,132,220.5,645.5,"390.5",203.5,"222","May 08"
"June","2008",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Jun 08"
"July","2008",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Jul 08"
