2019-20 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     711,  19.0,"      1,424",  54.0,  46.0,  11.5,  12.4,  42.7
Abington,00010000,"   1,034",  22.4,"      2,194",  48.9,  51.1,   7.5,  15.6,  27.1
Academy Of the Pacific Rim Charter Public (District),04120000,     185,  19.1,        539,  49.5,  50.5,  10.4,  26.2,  44.9
Acton-Boxborough,06000000,"   2,190",  20.2,"      5,463",  48.2,  51.8,   4.4,  14.6,   7.9
Acushnet,00030000,     546,  20.2,"      1,016",  47.0,  53.1,   1.0,  13.1,  25.8
Advanced Math and Science Academy Charter (District),04300000,     510,  18.1,        964,  47.6,  52.4,   3.2,   6.9,   9.0
Agawam,00050000,"   2,450",  15.4,"      3,704",  48.4,  51.5,   5.1,  15.8,  32.0
Alma del Mar Charter School (District),04090000,     225,  24.2,        641,  53.7,  46.3,  30.7,  20.3,  60.7
Amesbury,00070000,"   1,099",  16.6,"      2,036",  47.6,  52.4,   2.2,  21.1,  25.3
Amherst,00080000,     361,  19.3,"      1,127",  47.8,  51.9,  16.4,  22.4,  32.8
Amherst-Pelham,06050000,"   1,031",  14.0,"      1,332",  48.4,  51.4,   7.7,  20.8,  27.1
Andover,00090000,"   2,775",  17.5,"      5,877",  49.3,  50.6,   3.6,  19.7,   8.7
Argosy Collegiate Charter School (District),35090000,     187,  22.2,        500,  45.8,  54.2,  24.8,  19.4,  59.0
Arlington,00100000,"   2,800",  17.7,"      6,086",  49.0,  50.9,   5.0,  15.5,   8.8
Ashburnham-Westminster,06100000,"   1,428",  18.6,"      2,400",  49.4,  50.5,   1.7,  19.4,  17.4
Ashland,00140000,"   1,315",  19.9,"      2,891",  49.0,  51.0,   7.1,  16.7,  16.2
Assabet Valley Regional Vocational Technical,08010000,     646,  16.4,"      1,130",  39.1,  60.4,   4.0,  27.5,  28.9
Athol-Royalston,06150000,     737,  18.5,"      1,545",  46.8,  53.2,   2.7,  23.6,  52.6
Atlantis Charter (District),04910000,     520,  23.9,"      1,304",  52.8,  47.2,  13.2,  13.9,  46.3
Attleboro,00160000,"   2,663",  21.4,"      6,073",  47.3,  52.7,   5.7,  16.9,  31.4
Auburn,00170000,"   1,455",  18.7,"      2,647",  50.2,  49.8,   2.5,  10.2,  20.3
Avon,00180000,     367,  13.1,        736,  48.1,  51.9,   4.2,  19.0,  31.9
Ayer Shirley School District,06160000,     870,  19.0,"      1,675",  47.4,  52.6,   4.4,  21.2,  25.9
Barnstable,00200000,"   2,301",  16.8,"      5,054",  48.8,  51.2,  13.8,  16.9,  38.4
Baystate Academy Charter Public School (District),35020000,     305,  15.0,        462,  48.9,  51.1,   9.3,  19.3,  66.7
